date,TweetId,Tweet,created_at,location
2020-12-15  21:46,1308525417666621440,@ashleymr1993 👀😷 https://t.co/dEsfiXDjDY,2020-09-22 21:55:45,everywhere
2020-12-15  21:46,1308523886401728513,@DjNickeysM 👀😷 https://t.co/YxY4w98ekT,2020-09-22 21:49:40,everywhere
2020-12-15  21:46,1308519347019755520,RT @ezrabutler: This is one way to retweet me. https://t.co/pp4FEHRdYv,2020-09-22 21:31:38,everywhere
2020-12-15  21:46,1308519252798906370,"@alexmella24 Dan Ryan Expressway in Chicago, north of Cermak!",2020-09-22 21:31:15,everywhere
2020-12-15  21:46,1308518546821898240,@alexmella24 confirming really real,2020-09-22 21:28:27,everywhere
2020-12-15  21:46,1308502159458148352,@fruitydyke 👀😷 https://t.co/lpPZI3HxkS,2020-09-22 20:23:20,everywhere
2020-12-15  21:46,1308501486385557505,@sylveeoncutie 👀😷 https://t.co/P1vTOKd2Bm,2020-09-22 20:20:39,everywhere
2020-12-15  21:46,1308500974500102144,@stefaniwhylie 👀😷 https://t.co/s6UVLVjrKl,2020-09-22 20:18:37,everywhere
2020-12-15  21:46,1308500576779476993,@AveryKJones 👀😷 https://t.co/ZJtSfhPoPo,2020-09-22 20:17:02,everywhere
2020-12-15  21:46,1308498836210569216,@TheRealMrMint it's pretty simple we're not asking you to wear pants,2020-09-22 20:10:07,everywhere
2020-12-15  21:46,1308497329113227264,@grovymango narrator: it was not a mockup,2020-09-22 20:04:08,everywhere
2020-12-15  21:46,1308482670205325313,@leoncbrunson oh.............it's real,2020-09-22 19:05:53,everywhere
2020-12-15  21:46,1308475139214909440,@m_spiceo 👀😷 https://t.co/i0ukLnEF87,2020-09-22 18:35:58,everywhere
2020-12-15  21:46,1308452566494113792,@lolstiz 👀😷 https://t.co/Z02LtJz35n,2020-09-22 17:06:16,everywhere
2020-12-15  21:46,1308450698548244481,@grovymango 👀😷 https://t.co/fNxzfVHEEF,2020-09-22 16:58:51,everywhere
2020-12-15  21:46,1308446014668288000,@anniedolo 👀😷 https://t.co/tCtRydIx5S,2020-09-22 16:40:14,everywhere
2020-12-15  21:46,1308445399993155585,@adityamsharma 👀😷 https://t.co/N9B85XH5uu,2020-09-22 16:37:47,everywhere
2020-12-15  21:46,1308445263988576256,@Khetlymmm 👀😷 https://t.co/wRDdqx9hN0,2020-09-22 16:37:15,everywhere
2020-12-15  21:46,1308444488914927617,@ezrabutler 👀😷 https://t.co/t0bzyBmTGb,2020-09-22 16:34:10,everywhere
2020-12-15  21:46,1308444269137424385,@SalemJakes 👀😷 https://t.co/xyZFTV32yZ,2020-09-22 16:33:18,everywhere
2020-12-15  21:46,1308425975659720706,@ULTRAGLOSS 👀😷 https://t.co/CzGQuDc8nR,2020-09-22 15:20:36,everywhere
2020-12-15  21:46,1308425726165749760,@AmandaDuberman 👀😷 https://t.co/8JFZgqbfcE,2020-09-22 15:19:37,everywhere
2020-12-15  21:46,1308422469653585922,@yayeetmybeets 👀😷 https://t.co/2YR6PV1tr2,2020-09-22 15:06:40,everywhere
2020-12-15  21:46,1308421803975626760,@SmoothBrothaB 👀😷 https://t.co/c4cqW754Tm,2020-09-22 15:04:02,everywhere
2020-12-15  21:46,1308421607233380353,@SirohiyaSatvik 👀😷 https://t.co/jlm5HHPAad,2020-09-22 15:03:15,everywhere
2020-12-15  21:46,1308419350169292808,@LizzieShaneAK 👀😷 https://t.co/6ApaaV0Ol1,2020-09-22 14:54:16,everywhere
2020-12-15  21:46,1308418409705635844,@iSmashFizzle 👀😷 https://t.co/SKYItmKI5N,2020-09-22 14:50:32,everywhere
2020-12-15  21:46,1308416244136239105,@dariel_loyal 👀😷 https://t.co/fUgbfbjt6x,2020-09-22 14:41:56,everywhere
2020-12-15  21:46,1308415387592257541,@allikaiter 👀😷 https://t.co/xGi7alFzSD,2020-09-22 14:38:32,everywhere
2020-12-15  21:46,1308414707708170243,@alexmella24 👀😷 https://t.co/2wYQNYVde6,2020-09-22 14:35:50,everywhere
2020-12-15  21:46,1308157870308044800,@_carla_soto 👀😷 https://t.co/fwmJpCudcN,2020-09-21 21:35:15,everywhere
2020-12-15  21:46,1308157692922474498,@TheCatWhisprer 👀😷 https://t.co/wjdqlB2ij9,2020-09-21 21:34:33,everywhere
