Tweet_lemmatized
['tweet']
"['rt', 'agapeloveallday', 'fire', 'morning', 'tired', 'watching', 'people', 'suffer', 'even', 'ease', 'physical', 'pain', 'le…']"
"['nyctaxicabtales\ncouple', 'wisconsin', 'said', 'republican', '', 'voted', 'joebiden', 'kamalaharris', '', 'because…', 'httpstcoxnnubsr']"
"['kamalaharris', 'joebiden', '\ni', 'know', 'universalhealthcare', 'something', 'think', 'america', 'want', 'rn', 'watching…', 'httpstcoxqkhtqm']"
"['fire', 'morning', 'tired', 'watching', 'people', 'suffer', 'even', 'ease', 'physical', 'pain', 'at…', 'httpstcoudxtmrskf']"
"['rt', 'agapeloveallday', 'praise', 'accolade', 'tell', 'story', 'reason', 'say', 'becaus…']"
"['praise', 'accolade', 'tell', 'story', 'reason', 'say', 'bec…', 'httpstcollxrqodk']"
"['rt', 'agapeloveallday', 'point', 'need', 'le', 'selfish', 'unified', 'nation', 'provides', 'universalhealthcare', 'everyone', 'e…']"
"['axlsgirl', 'see', 'regularly', 'oncology', 'nurse', 'si', 'heartbreaking', 'need…', 'httpstcokgcgmmyamr']"
"['rt', 'agapeloveallday', 'want', 'speak', 'joebiden', 'kamalaharris', 'face', 'face', 'universalhealthcare', '\ni', 'want', 'take', '', 'doc', 'nu…']"
"['want', 'speak', 'joebiden', 'kamalaharris', 'face', 'face', 'universalhealthcare', '\ni', 'want', 'take', '', 'doc', 'a…', 'httpstcotoiqximdj']"
"['point', 'need', 'le', 'selfish', 'unified', 'nation', 'provides', 'universalhealthcare', 'everyone', 'don…', 'httpstcodcruqea']"
"['wow', 'powerful', 'wake', 'american', 'bidenharris', 'universalhealthcare', 'httpstcopbpngiyon']"
"['rt', 'megamomph', 'awareness', 'lead', 'acceptance', 'lead', 'action', 'let', 'start', 'collecting', 'data', 'using', 'make', 'evidencedriven', 'decis…']"
"['rt', 'megamomph', 'awareness', 'lead', 'acceptance', 'lead', 'action', 'let', 'start', 'collecting', 'data', 'using', 'make', 'evidencedriven', 'decis…']"
"['awareness', 'lead', 'acceptance', 'lead', 'action', 'let', 'start', 'collecting', 'data', 'using', 'make', 'evidencedri…', 'httpstcomrgafltz']"
